01/03/15    08:51:29,1 days 09:00:00,0.0V,5.2V,12.8V,12.8V,0.0A,0.0A,0.3A,0.0A,,27.8C,,,,,,,
01/03/15    08:46:30,1 days 08:55:00,0.0V,5.2V,12.9V,12.9V,0.0A,0.0A,0.0A,-0.2A,,27.8C,,,,,,,
01/03/15    08:41:31,1 days 08:50:00,0.3V,5.2V,12.9V,12.9V,0.0A,0.0A,0.0A,-0.2A,,27.9C,,,,,,,
01/03/15    08:36:32,1 days 08:45:00,1.2V,5.2V,12.9V,12.9V,0.0A,0.0A,0.0A,-0.2A,,27.9C,,,,,,,
01/03/15    08:31:33,1 days 08:39:59,3.8V,5.2V,12.9V,12.9V,0.0A,0.0A,0.0A,-0.2A,,27.9C,,,,,,,
01/03/15    08:26:35,1 days 08:35:00,7.9V,5.2V,12.9V,12.9V,0.0A,0.0A,0.0A,-0.2A,,28.0C,,,,,,,
01/03/15    08:21:36,1 days 08:30:00,11.7V,5.2V,12.9V,12.9V,0.0A,0.0A,0.0A,0.0A,,28.0C,,,,,,,
01/03/15    08:16:37,1 days 08:25:00,12.9V,5.2V,12.9V,12.9V,0.0A,0.0A,0.0A,0.0A,,28.0C,,,,,,,
01/03/15    08:11:38,1 days 08:20:00,13.2V,5.2V,12.9V,13.0V,0.0A,0.0A,0.0A,-0.2A,,28.1C,,,,,,,
01/03/15    08:06:39,1 days 08:14:59,13.3V,5.2V,12.9V,13.0V,0.0A,0.0A,0.0A,-0.2A,,28.1C,,,,,,,
01/03/15    08:01:40,1 days 08:09:59,13.5V,5.2V,12.9V,13.0V,0.0A,0.0A,0.0A,-0.2A,,28.1C,,,,,,,
01/03/15    07:56:42,1 days 08:05:00,13.5V,5.2V,12.9V,13.0V,0.0A,0.0A,0.0A,-0.2A,,28.2C,,,,,,,
01/03/15    07:51:43,1 days 08:00:00,13.4V,5.2V,12.9V,13.0V,0.0A,0.0A,0.0A,-0.2A,,28.2C,,,,,,,
01/03/15    07:46:44,1 days 07:54:59,13.5V,5.2V,12.9V,13.0V,0.0A,0.0A,0.0A,-0.2A,,28.2C,,,,,,,
01/03/15    07:41:46,1 days 07:50:00,13.5V,5.2V,13.0V,13.0V,0.0A,0.0A,0.0A,0.0A,,28.3C,,,,,,,
01/03/15    07:36:47,1 days 07:45:00,13.5V,5.2V,13.0V,13.0V,0.0A,0.0A,0.0A,-0.2A,,28.3C,,,,,,,
01/03/15    07:31:48,1 days 07:40:00,13.5V,5.2V,13.0V,13.0V,0.0A,0.0A,0.0A,-0.2A,,28.3C,,,,,,,
01/03/15    07:26:49,1 days 07:34:59,13.7V,4.7V,12.9V,12.9V,0.5A,0.0A,0.0A,-0.2A,,28.3C,,,,,,,
01/03/15    07:21:50,1 days 07:29:59,14.1V,4.7V,12.9V,12.9V,0.5A,0.0A,0.0A,0.0A,,28.3C,,,,,,,
01/03/15    07:16:52,1 days 07:25:00,13.8V,4.7V,12.9V,12.9V,0.5A,0.0A,0.0A,-0.2A,,28.3C,,,,,,,
01/03/15    07:11:53,1 days 07:20:00,13.6V,4.7V,12.9V,12.9V,0.5A,0.0A,0.0A,-0.2A,,28.3C,,,,,,,
01/03/15    07:06:54,1 days 07:15:00,13.7V,4.7V,12.9V,12.9V,0.5A,0.0A,0.0A,-0.2A,,28.3C,,,,,,,
01/03/15    07:01:56,1 days 07:10:00,13.7V,4.7V,12.9V,12.9V,0.5A,0.0A,0.0A,-0.2A,,28.3C,,,,,,,
01/03/15    06:56:57,1 days 07:05:00,14.0V,4.7V,12.9V,13.0V,0.5A,0.0A,0.0A,-0.2A,,28.3C,,,,,,,
01/03/15    06:51:58,1 days 07:00:00,14.5V,4.7V,13.0V,13.0V,0.5A,0.0A,0.0A,-0.2A,,28.2C,,,,,,,
01/03/15    06:46:59,1 days 06:54:59,14.5V,4.7V,13.0V,13.0V,0.5A,0.0A,0.0A,-0.2A,,28.2C,,,,,,,
01/03/15    06:42:01,1 days 06:50:00,14.7V,4.7V,13.0V,13.0V,0.5A,0.0A,0.0A,-0.2A,,28.2C,,,,,,,
01/03/15    06:37:02,1 days 06:45:00,14.3V,4.7V,13.0V,13.0V,0.5A,0.0A,0.0A,0.0A,,28.2C,,,,,,,
01/03/15    06:32:03,1 days 06:40:00,14.5V,4.7V,13.0V,13.0V,0.5A,0.0A,0.0A,-0.2A,,28.2C,,,,,,,
01/03/15    06:27:04,1 days 06:34:59,14.3V,4.7V,13.0V,13.0V,0.5A,0.0A,0.0A,-0.2A,,28.2C,,,,,,,
01/03/15    06:22:06,1 days 06:30:00,14.3V,4.7V,13.0V,13.1V,0.5A,0.0A,0.0A,-0.2A,,28.2C,,,,,,,
01/03/15    06:17:07,1 days 06:25:00,15.0V,4.7V,13.1V,13.1V,0.5A,0.0A,0.0A,0.0A,,28.2C,,,,,,,
01/03/15    06:12:08,1 days 06:20:00,15.0V,4.7V,13.1V,13.2V,0.5A,0.0A,0.0A,0.0A,,28.2C,,,,,,,
01/03/15    06:07:09,1 days 06:14:59,14.6V,4.7V,13.1V,13.1V,0.5A,0.0A,0.0A,-0.2A,,28.1C,,,,,,,
01/03/15    06:02:11,1 days 06:10:00,15.0V,4.7V,13.1V,13.1V,0.5A,0.0A,0.0A,-0.2A,,28.1C,,,,,,,
01/03/15    05:57:12,1 days 06:05:00,15.0V,4.7V,13.2V,13.2V,0.5A,0.0A,0.0A,-0.2A,,28.1C,,,,,,,
01/03/15    05:52:13,1 days 06:00:00,15.2V,4.7V,13.2V,13.2V,0.5A,0.0A,0.0A,0.0A,,28.0C,,,,,,,
01/03/15    05:47:14,1 days 05:54:59,14.8V,4.7V,13.1V,13.2V,0.5A,0.0A,0.0A,-0.2A,,28.0C,,,,,,,
01/03/15    05:42:16,1 days 05:50:00,14.6V,4.7V,13.1V,13.2V,0.5A,0.0A,0.0A,-0.2A,,27.9C,,,,,,,
01/03/15    05:37:17,1 days 05:45:00,14.8V,4.7V,13.2V,13.2V,0.5A,0.0A,0.0A,-0.2A,,27.9C,,,,,,,
01/03/15    05:32:18,1 days 05:40:00,15.7V,4.7V,13.3V,13.3V,0.5A,0.0A,0.0A,0.0A,,27.9C,,,,,,,
01/03/15    05:27:19,1 days 05:35:00,15.8V,4.7V,13.3V,13.3V,0.5A,0.0A,0.0A,-0.2A,,27.8C,,,,,,,
01/03/15    05:22:20,1 days 05:29:59,15.0V,4.7V,13.1V,13.1V,0.5A,0.0A,0.0A,-0.2A,,27.8C,,,,,,,
01/03/15    05:17:21,1 days 05:24:59,14.9V,4.7V,13.1V,13.1V,0.5A,0.0A,0.0A,-0.2A,,27.8C,,,,,,,
01/03/15    05:12:23,1 days 05:20:00,14.8V,5.2V,13.2V,13.2V,0.0A,0.0A,0.0A,-0.2A,,27.8C,,,,,,,
01/03/15    05:07:24,1 days 05:15:00,15.2V,5.2V,13.2V,13.3V,0.0A,0.0A,0.0A,-0.2A,,27.8C,,,,,,,
01/03/15    05:02:25,1 days 05:10:00,14.8V,5.2V,13.2V,13.2V,0.0A,0.0A,0.0A,-0.2A,,27.8C,,,,,,,
01/03/15    04:57:27,1 days 05:05:00,14.7V,5.2V,13.2V,13.2V,0.0A,0.0A,0.0A,-0.2A,,27.8C,,,,,,,
01/03/15    04:52:28,1 days 05:00:00,14.3V,5.2V,13.2V,13.2V,0.0A,0.0A,0.0A,-0.2A,,27.8C,,,,,,,
01/03/15    04:47:29,1 days 04:55:00,15.1V,5.2V,13.2V,13.3V,0.0A,0.0A,0.0A,-0.2A,,27.8C,,,,,,,
01/03/15    04:42:30,1 days 04:50:00,15.2V,5.2V,13.3V,13.3V,0.0A,0.0A,0.0A,-0.2A,,27.9C,,,,,,,
01/03/15    04:37:32,1 days 04:45:00,15.4V,5.2V,13.3V,13.3V,0.0A,0.0A,0.0A,0.0A,,27.8C,,,,,,,
