"Variable 1","Variable 2","Type","Method","Correlation","abs_corr"
"fam_head_age","tech_problems_switch","Numerical–Categorical","Correlation ratio (η)","0.0710478907235999","0.0710478907235999"
"rooms","desired_app_laptop","Numerical–Categorical","Correlation ratio (η)","0.07104107702817436","0.07104107702817436"
"rooms","desired_app_fridge","Numerical–Categorical","Correlation ratio (η)","0.07104107702817436","0.07104107702817436"
"rooms","before_phone","Numerical–Categorical","Correlation ratio (η)","0.07098422141520246","0.07098422141520246"
"cooking_time_min_d","winter_migration","Numerical–Categorical","Correlation ratio (η)","0.07096268013787502","0.07096268013787502"
"fam_members","newly_acq_radio","Numerical–Categorical","Correlation ratio (η)","0.07078942352109673","0.07078942352109673"
"wo_activity","sleep_time_before","Numerical–Numerical","Pearson","0.07049392897179016","0.07049392897179016"
"cooking_time_min_d","before_phone","Numerical–Categorical","Correlation ratio (η)","0.07046834707309195","0.07046834707309195"
"wo_activity","migration","Numerical–Categorical","Correlation ratio (η)","0.07045458331763702","0.07045458331763702"
"fam_head_age","winter_migration","Numerical–Categorical","Correlation ratio (η)","0.07032940233742663","0.07032940233742663"
"phone_3_time","desired_app_laptop","Numerical–Categorical","Correlation ratio (η)","0.07018427306247035","0.07018427306247035"
"summer_migration","quality","Categorical–Categorical","Cramér’s V","0.0698569967862919","0.0698569967862919"
"mant_difficulty","demand_satisfaction","Categorical–Categorical","Cramér’s V","0.06978278051735415","0.06978278051735415"
"rooms","mant_capacity","Numerical–Categorical","Correlation ratio (η)","0.06972691473426829","0.06972691473426829"
"illum_candles","other_illum","Categorical–Categorical","Cramér’s V","0.06923619569019367","0.06923619569019367"
"spring_migration","tech_problems_USB","Categorical–Categorical","Cramér’s V","0.06854301959480893","0.06854301959480893"
"monthly_fuel_exp","tech_problems_battery","Numerical–Categorical","Correlation ratio (η)","0.06852914746128697","0.06852914746128697"
"wo_activity","tech_problems_battery","Numerical–Categorical","Correlation ratio (η)","0.06847390643306989","0.06847390643306989"
"wo_activity","mat_floor","Numerical–Categorical","Correlation ratio (η)","0.06847390643306989","0.06847390643306989"
"migration","tech_problems_LED","Categorical–Categorical","Cramér’s V","0.06842135252595846","0.06842135252595846"
"wo_activity","illum_picolamp","Numerical–Categorical","Correlation ratio (η)","0.06838818901190273","0.06838818901190273"
"wo_activity","pv_before","Numerical–Categorical","Correlation ratio (η)","0.06838818901190273","0.06838818901190273"
"fam_head_age","newly_acq_phone","Numerical–Categorical","Correlation ratio (η)","0.06823788781840626","0.06823788781840626"
"fam_members","desired_app_fridge","Numerical–Categorical","Correlation ratio (η)","0.06812964290415977","0.06812964290415977"
"light_bulb_1_time","tech_problems_LED","Numerical–Categorical","Correlation ratio (η)","0.06808065527206354","0.06808065527206354"
"water_source","illum_picolamp","Categorical–Categorical","Cramér’s V","0.0679788056119138","0.0679788056119138"
"wo_activity","newly_acq_radio","Numerical–Categorical","Correlation ratio (η)","0.06791303971931222","0.06791303971931222"
"other_app","illum_solarpv","Numerical–Categorical","Correlation ratio (η)","0.06772482910502639","0.06772482910502639"
"phones","cooking_male","Numerical–Categorical","Correlation ratio (η)","0.06765484768579705","0.06765484768579705"
"phones","cooking_female","Numerical–Categorical","Correlation ratio (η)","0.06765484768579705","0.06765484768579705"
"phones","desired_app_fridge","Numerical–Categorical","Correlation ratio (η)","0.06765484768579705","0.06765484768579705"
"adults_18_59","fam_head_gender","Numerical–Categorical","Correlation ratio (η)","0.06763981327678104","0.06763981327678104"
"act_agriculture","cooking_improved","Numerical–Categorical","Correlation ratio (η)","0.06745368781616022","0.06745368781616022"
"act_agriculture","cooking_rustic","Numerical–Categorical","Correlation ratio (η)","0.06745368781616022","0.06745368781616022"
"other_app","tech_problems_switch","Numerical–Categorical","Correlation ratio (η)","0.06742071504406981","0.06742071504406981"
