01/04/15    19:18:44,2 days 19:25:00,0.1V,0.3V,12.5V,12.4V,0.0A,0.0A,0.0A,-0.2A,,75.2F,,,,,,,
01/04/15    19:13:44,2 days 19:20:00,0.2V,0.3V,12.5V,12.4V,0.0A,0.0A,0.0A,-0.2A,,75.2F,,,,,,,
01/04/15    19:08:45,2 days 19:15:00,0.2V,0.3V,12.5V,12.5V,0.0A,0.0A,0.0A,-0.2A,,75.2F,,,,,,,
01/04/15    19:03:45,2 days 19:10:00,0.2V,0.3V,12.5V,12.5V,0.0A,0.0A,0.0A,-0.2A,,75.2F,,,,,,,
01/04/15    18:58:45,2 days 19:04:59,0.2V,0.3V,12.5V,12.5V,0.0A,0.0A,0.0A,-0.2A,,75.2F,,,,,,,
01/04/15    18:53:46,2 days 19:00:00,0.2V,0.3V,12.5V,12.5V,0.0A,0.0A,0.0A,-0.2A,,75.2F,,,,,,,
01/04/15    18:48:46,2 days 18:55:00,0.1V,0.3V,12.5V,12.5V,0.0A,0.0A,0.0A,-0.2A,,75.2F,,,,,,,
01/04/15    18:43:46,2 days 18:50:00,0.2V,0.3V,12.6V,12.5V,0.0A,0.0A,0.0A,-0.2A,,75.2F,,,,,,,
01/04/15    18:38:46,2 days 18:44:59,0.1V,0.3V,12.6V,12.5V,0.0A,0.0A,0.0A,-0.2A,,75.2F,,,,,,,
01/04/15    18:33:47,2 days 18:40:00,0.1V,0.3V,12.6V,12.5V,0.0A,0.0A,0.0A,-0.2A,,75.2F,,,,,,,
01/04/15    18:28:47,2 days 18:35:00,0.1V,0.3V,12.6V,12.5V,0.0A,0.0A,0.0A,-0.2A,,75.2F,,,,,,,
01/04/15    18:23:48,2 days 18:30:00,0.1V,0.3V,12.6V,12.6V,0.0A,0.0A,0.0A,-0.2A,,75.2F,,,,,,,
01/04/15    18:18:48,2 days 18:25:00,0.1V,0.3V,12.6V,12.6V,0.0A,0.0A,0.0A,-0.2A,,75.2F,,,,,,,
01/04/15    18:13:48,2 days 18:20:00,0.1V,0.3V,12.6V,12.6V,0.0A,0.0A,0.0A,-0.2A,,75.2F,,,,,,,
01/04/15    18:08:48,2 days 18:14:59,0.1V,0.3V,12.6V,12.6V,0.0A,0.0A,0.0A,-0.2A,,75.2F,,,,,,,
01/04/15    18:03:49,2 days 18:10:00,0.1V,0.3V,12.6V,12.6V,0.0A,0.0A,0.0A,-0.2A,,75.2F,,,,,,,
01/04/15    17:58:49,2 days 18:05:00,0.1V,0.3V,12.6V,12.6V,0.0A,0.0A,0.0A,-0.2A,,75.2F,,,,,,,
01/04/15    17:53:49,2 days 18:00:00,0.2V,0.3V,12.7V,12.6V,0.0A,0.0A,0.0A,-0.2A,,75.2F,,,,,,,
01/04/15    17:48:49,2 days 17:54:59,0.2V,0.3V,12.7V,12.6V,0.0A,0.0A,0.0A,-0.2A,,75.4F,,,,,,,
01/04/15    17:43:50,2 days 17:50:00,0.2V,0.3V,12.7V,12.6V,0.0A,0.0A,0.0A,-0.2A,,75.4F,,,,,,,
01/04/15    17:38:50,2 days 17:45:00,0.2V,0.3V,12.7V,12.6V,0.0A,0.0A,0.0A,-0.2A,,75.4F,,,,,,,
01/04/15    17:33:50,2 days 17:39:59,0.2V,0.3V,12.7V,12.6V,0.0A,0.0A,0.0A,-0.2A,,75.4F,,,,,,,
01/04/15    17:28:50,2 days 17:34:59,0.2V,0.3V,12.7V,12.6V,0.0A,0.0A,0.0A,-0.2A,,75.4F,,,,,,,
01/04/15    17:23:51,2 days 17:30:00,0.2V,0.3V,12.7V,12.6V,0.0A,0.0A,0.0A,-0.2A,,75.6F,,,,,,,
01/04/15    17:18:51,2 days 17:24:59,0.1V,0.3V,12.7V,12.7V,0.0A,0.0A,0.0A,-0.2A,,75.6F,,,,,,,
01/04/15    17:13:52,2 days 17:20:00,0.1V,0.3V,12.7V,12.7V,0.0A,0.0A,0.0A,-0.2A,,75.6F,,,,,,,
01/04/15    17:08:52,2 days 17:15:00,0.1V,0.3V,12.7V,12.7V,0.0A,0.0A,0.0A,-0.2A,,75.6F,,,,,,,
01/04/15    17:03:52,2 days 17:09:59,0.1V,0.3V,12.7V,12.7V,0.0A,0.0A,0.0A,-0.2A,,75.6F,,,,,,,
01/04/15    16:58:52,2 days 17:04:59,0.1V,0.3V,12.7V,12.7V,0.0A,0.0A,0.0A,-0.2A,,75.6F,,,,,,,
01/04/15    16:53:53,2 days 17:00:00,0.1V,0.3V,12.7V,12.7V,0.0A,0.0A,0.0A,-0.2A,,75.6F,,,,,,,
01/04/15    16:48:54,2 days 16:55:00,0.1V,0.3V,12.7V,12.7V,0.0A,0.0A,0.0A,-0.2A,,75.6F,,,,,,,
