date,time,PVavg,USBavg,LEDavg,DLavg,CONSavg
2024-01-30,05:20:00,0,0.38616935483871,0.405131064516129,0.357046870967742,1.14834729032258
2024-01-30,05:30:00,0,0.389331516129032,0.571924774193548,0.356232516129032,1.31748880645161
2024-01-30,05:40:00,0,0.476994419354839,0.764133096774194,0.350440129032258,1.59156764516129
2024-01-30,05:50:00,0.00906683870967742,0.581117483870968,0.66613764516129,0.351843516129032,1.59909864516129
2024-01-30,06:00:00,0.0409547741935484,0.671232193548387,0.225234935483871,0.353288774193548,1.24975590322581
2024-01-30,06:10:00,0.0943941935483871,0.692607774193548,0.123801096774194,0.350661548387097,1.16707041935484
2024-01-30,06:20:00,0.215972580645161,0.64119264516129,0.096611935483871,0.356227903225807,1.09403248387097
2024-01-30,06:30:00,0.376710967741935,0.685913516129032,0.0431874193548387,0.353408,1.08250893548387
2024-01-30,06:40:00,0.586296806451613,0.743225967741935,0.00170606451612903,0.352487548387097,1.09741958064516
2024-01-30,06:50:00,0.91225164516129,0.668066096774193,0,0.354119096774193,1.02218519354839
2024-01-30,07:00:00,1.32543541935484,0.631497580645161,0,0.351707612903226,0.983205193548387
2024-01-30,07:10:00,1.77588612903226,0.676125967741935,0,0.354255,1.03038096774194
2024-01-30,07:20:00,2.18209803225806,0.778773225806452,0,0.354429225806452,1.1332024516129
2024-01-30,07:30:00,2.49827529032258,0.819389387096774,0,0.354633967741935,1.17402335483871
2024-01-30,07:40:00,2.94306383870968,0.830623225806452,0,0.356790677419355,1.18741390322581
2024-01-30,07:50:00,3.53507106451613,0.824220193548387,0.00169329032258065,0.358213225806452,1.18412670967742
2024-01-30,08:00:00,3.92788390322581,0.815601483870968,0,0.356479838709677,1.17208132258065
2024-01-30,08:10:00,4.45349725806452,0.710130516129032,0,0.358142967741936,1.06827348387097
2024-01-30,08:20:00,4.8821594516129,0.734835516129032,0.000461645161290323,0.354454064516129,1.08975122580645
2024-01-30,08:30:00,5.50479351612903,0.901070354838709,-0.001287,0.360204580645161,1.25998793548387
2024-01-30,08:40:00,6.09170383870968,0.955728322580645,-0.002145,0.362611096774194,1.31619441935484
2024-01-30,08:50:00,6.61057206451613,0.997489709677419,-0.000825354838709677,0.363331064516129,1.35999541935484
2024-01-30,09:00:00,7.20491412903226,0.967351774193548,0.162713064516129,0.361588451612903,1.49165329032258
2024-01-30,09:10:00,7.71011751612903,0.893299741935484,0.163909935483871,0.365834451612903,1.42304412903226
2024-01-30,09:20:00,8.37549048387097,0.890173,0.162306774193548,0.366289709677419,1.41876948387097
2024-01-30,09:30:00,8.80277093548387,0.957105741935484,0.162303935483871,0.365764193548387,1.48517387096774
2024-01-30,09:40:00,9.53850877419355,0.901957806451613,0.164090193548387,0.368592258064516,1.43464025806452
2024-01-30,09:50:00,9.82899890322581,0.938504677419355,0.164403870967742,0.367501483870968,1.47041003225806
2024-01-30,10:00:00,10.2396150645161,0.912815806451613,0.164551483870968,0.368160064516129,1.44552735483871
2024-01-30,10:10:00,10.3541552258065,0.859505741935484,0.164537290322581,0.371286193548387,1.39532922580645
2024-01-30,10:20:00,9.96613590322581,0.838854290322581,0.164245612903226,0.369136935483871,1.37223683870968
2024-01-30,10:30:00,10.3076702903226,0.834796806451613,0.164122838709677,0.369472967741936,1.36839261290323
2024-01-30,10:40:00,10.3868894516129,0.775500870967742,0.164403870967742,0.371974935483871,1.31187967741936
